
2025/01/31 (00:43:46) | ===> btop++ v.1.4.0
2025/01/31 (00:43:46) | WARNING: Failed to join _runner thread on exit!
2025/01/31 (00:43:46) | ERROR: No response from Runner thread, quitting!

2025/02/13 (08:55:17) | ===> btop++ v.1.4.0
2025/02/13 (08:55:17) | WARNING: Failed to join _runner thread on exit!

2025/02/13 (12:48:38) | ===> btop++ v.1.4.0
2025/02/13 (12:48:38) | WARNING: Failed to join _runner thread on exit!

2025/02/16 (00:25:00) | ===> btop++ v.1.4.0
2025/02/16 (00:25:00) | WARNING: Failed to join _runner thread on exit!

2025/02/16 (15:44:16) | ===> btop++ v.1.4.0
2025/02/16 (15:44:16) | WARNING: Failed to join _runner thread on exit!

2025/02/20 (01:15:30) | ===> btop++ v.1.4.0
2025/02/20 (01:15:30) | WARNING: Failed to join _runner thread on exit!
